collected_at,city,keyword,filename,event_count,status
2026-07-12T03:18:04,Berlin,jazz,20260712_031804_berlin_jazz.json,9,success
2026-07-12T03:46:16,Berlin,jazz,0,,0,failed
2026-07-12T03:46:16,Berlin,jazz,1,,0,failed
2026-07-12T03:46:16,Berlin,jazz,2,,0,failed
2026-07-12T03:46:16,Berlin,rock,0,,0,failed
2026-07-12T03:46:16,Berlin,rock,1,,0,failed
2026-07-12T03:46:16,Berlin,rock,2,,0,failed
2026-07-12T03:46:16,Berlin,classical,0,,0,failed
2026-07-12T03:46:16,Berlin,classical,1,,0,failed
2026-07-12T03:46:16,Berlin,classical,2,,0,failed
2026-07-12T03:46:16,Berlin,opera,0,,0,failed
2026-07-12T03:46:16,Berlin,opera,1,,0,failed
2026-07-12T03:46:16,Berlin,opera,2,,0,failed
2026-07-12T03:46:16,Berlin,museum,0,,0,failed
2026-07-12T03:46:16,Berlin,museum,1,,0,failed
2026-07-12T03:46:16,Berlin,museum,2,,0,failed
2026-07-12T03:46:16,Berlin,exhibition,0,,0,failed
2026-07-12T03:46:16,Berlin,exhibition,1,,0,failed
2026-07-12T03:46:16,Berlin,exhibition,2,,0,failed
2026-07-12T03:46:16,Berlin,film festival,0,,0,failed
2026-07-12T03:46:16,Berlin,film festival,1,,0,failed
2026-07-12T03:46:16,Berlin,film festival,2,,0,failed
2026-07-12T03:46:16,Berlin,comedy,0,,0,failed
2026-07-12T03:46:16,Berlin,comedy,1,,0,failed
2026-07-12T03:46:16,Berlin,comedy,2,,0,failed
2026-07-12T03:46:16,Berlin,theatre,0,,0,failed
2026-07-12T03:46:16,Berlin,theatre,1,,0,failed
2026-07-12T03:46:16,Berlin,theatre,2,,0,failed
2026-07-12T03:46:16,Amsterdam,jazz,0,,0,failed
2026-07-12T03:46:16,Amsterdam,jazz,1,,0,failed
2026-07-12T03:46:16,Amsterdam,jazz,2,,0,failed
2026-07-12T03:46:16,Amsterdam,rock,0,,0,failed
2026-07-12T03:46:16,Amsterdam,rock,1,,0,failed
2026-07-12T03:46:16,Amsterdam,rock,2,,0,failed
2026-07-12T03:46:16,Amsterdam,classical,0,,0,failed
2026-07-12T03:46:16,Amsterdam,classical,1,,0,failed
2026-07-12T03:46:16,Amsterdam,classical,2,,0,failed
2026-07-12T03:46:16,Amsterdam,opera,0,,0,failed
2026-07-12T03:46:16,Amsterdam,opera,1,,0,failed
2026-07-12T03:46:16,Amsterdam,opera,2,,0,failed
2026-07-12T03:46:16,Amsterdam,museum,0,,0,failed
2026-07-12T03:46:16,Amsterdam,museum,1,,0,failed
2026-07-12T03:46:16,Amsterdam,museum,2,,0,failed
2026-07-12T03:46:16,Amsterdam,exhibition,0,,0,failed
2026-07-12T03:46:16,Amsterdam,exhibition,1,,0,failed
2026-07-12T03:46:16,Amsterdam,exhibition,2,,0,failed
2026-07-12T03:46:16,Amsterdam,film festival,0,,0,failed
2026-07-12T03:46:16,Amsterdam,film festival,1,,0,failed
2026-07-12T03:46:16,Amsterdam,film festival,2,,0,failed
2026-07-12T03:46:16,Amsterdam,comedy,0,,0,failed
2026-07-12T03:46:16,Amsterdam,comedy,1,,0,failed
2026-07-12T03:46:16,Amsterdam,comedy,2,,0,failed
2026-07-12T03:46:16,Amsterdam,theatre,0,,0,failed
2026-07-12T03:46:16,Amsterdam,theatre,1,,0,failed
2026-07-12T03:46:16,Amsterdam,theatre,2,,0,failed
2026-07-12T03:46:16,Paris,jazz,0,,0,failed
2026-07-12T03:46:16,Paris,jazz,1,,0,failed
2026-07-12T03:46:16,Paris,jazz,2,,0,failed
2026-07-12T03:46:16,Paris,rock,0,,0,failed
2026-07-12T03:46:16,Paris,rock,1,,0,failed
2026-07-12T03:46:16,Paris,rock,2,,0,failed
2026-07-12T03:46:16,Paris,classical,0,,0,failed
2026-07-12T03:46:16,Paris,classical,1,,0,failed
2026-07-12T03:46:16,Paris,classical,2,,0,failed
2026-07-12T03:46:16,Paris,opera,0,,0,failed
2026-07-12T03:46:16,Paris,opera,1,,0,failed
2026-07-12T03:46:16,Paris,opera,2,,0,failed
2026-07-12T03:46:16,Paris,museum,0,,0,failed
2026-07-12T03:46:16,Paris,museum,1,,0,failed
2026-07-12T03:46:16,Paris,museum,2,,0,failed
2026-07-12T03:46:16,Paris,exhibition,0,,0,failed
2026-07-12T03:46:16,Paris,exhibition,1,,0,failed
2026-07-12T03:46:16,Paris,exhibition,2,,0,failed
2026-07-12T03:46:16,Paris,film festival,0,,0,failed
2026-07-12T03:46:16,Paris,film festival,1,,0,failed
2026-07-12T03:46:16,Paris,film festival,2,,0,failed
2026-07-12T03:46:16,Paris,comedy,0,,0,failed
2026-07-12T03:46:16,Paris,comedy,1,,0,failed
2026-07-12T03:46:16,Paris,comedy,2,,0,failed
2026-07-12T03:46:16,Paris,theatre,0,,0,failed
2026-07-12T03:46:16,Paris,theatre,1,,0,failed
2026-07-12T03:46:16,Paris,theatre,2,,0,failed
2026-07-12T03:46:16,London,jazz,0,,0,failed
2026-07-12T03:46:16,London,jazz,1,,0,failed
2026-07-12T03:46:16,London,jazz,2,,0,failed
2026-07-12T03:46:16,London,rock,0,,0,failed
2026-07-12T03:46:16,London,rock,1,,0,failed
2026-07-12T03:46:16,London,rock,2,,0,failed
2026-07-12T03:46:16,London,classical,0,,0,failed
2026-07-12T03:46:16,London,classical,1,,0,failed
2026-07-12T03:46:16,London,classical,2,,0,failed
2026-07-12T03:46:16,London,opera,0,,0,failed
2026-07-12T03:46:16,London,opera,1,,0,failed
2026-07-12T03:46:16,London,opera,2,,0,failed
2026-07-12T03:46:16,London,museum,0,,0,failed
2026-07-12T03:46:16,London,museum,1,,0,failed
2026-07-12T03:46:16,London,museum,2,,0,failed
2026-07-12T03:46:16,London,exhibition,0,,0,failed
2026-07-12T03:46:16,London,exhibition,1,,0,failed
2026-07-12T03:46:16,London,exhibition,2,,0,failed
2026-07-12T03:46:16,London,film festival,0,,0,failed
2026-07-12T03:46:16,London,film festival,1,,0,failed
2026-07-12T03:46:16,London,film festival,2,,0,failed
2026-07-12T03:46:16,London,comedy,0,,0,failed
2026-07-12T03:46:16,London,comedy,1,,0,failed
2026-07-12T03:46:16,London,comedy,2,,0,failed
2026-07-12T03:46:16,London,theatre,0,,0,failed
2026-07-12T03:46:16,London,theatre,1,,0,failed
2026-07-12T03:46:16,London,theatre,2,,0,failed
2026-07-12T03:46:16,Vienna,jazz,0,,0,failed
2026-07-12T03:46:16,Vienna,jazz,1,,0,failed
2026-07-12T03:46:16,Vienna,jazz,2,,0,failed
2026-07-12T03:46:16,Vienna,rock,0,,0,failed
2026-07-12T03:46:16,Vienna,rock,1,,0,failed
2026-07-12T03:46:16,Vienna,rock,2,,0,failed
2026-07-12T03:46:16,Vienna,classical,0,,0,failed
2026-07-12T03:46:16,Vienna,classical,1,,0,failed
2026-07-12T03:46:16,Vienna,classical,2,,0,failed
2026-07-12T03:46:16,Vienna,opera,0,,0,failed
2026-07-12T03:46:16,Vienna,opera,1,,0,failed
2026-07-12T03:46:16,Vienna,opera,2,,0,failed
2026-07-12T03:46:16,Vienna,museum,0,,0,failed
2026-07-12T03:46:16,Vienna,museum,1,,0,failed
2026-07-12T03:46:16,Vienna,museum,2,,0,failed
2026-07-12T03:46:16,Vienna,exhibition,0,,0,failed
2026-07-12T03:46:16,Vienna,exhibition,1,,0,failed
2026-07-12T03:46:16,Vienna,exhibition,2,,0,failed
2026-07-12T03:46:16,Vienna,film festival,0,,0,failed
2026-07-12T03:46:16,Vienna,film festival,1,,0,failed
2026-07-12T03:46:16,Vienna,film festival,2,,0,failed
2026-07-12T03:46:16,Vienna,comedy,0,,0,failed
2026-07-12T03:46:16,Vienna,comedy,1,,0,failed
2026-07-12T03:46:16,Vienna,comedy,2,,0,failed
2026-07-12T03:46:16,Vienna,theatre,0,,0,failed
2026-07-12T03:46:16,Vienna,theatre,1,,0,failed
2026-07-12T03:46:16,Vienna,theatre,2,,0,failed
2026-07-12T03:46:16,Barcelona,jazz,0,,0,failed
2026-07-12T03:46:16,Barcelona,jazz,1,,0,failed
2026-07-12T03:46:16,Barcelona,jazz,2,,0,failed
2026-07-12T03:46:16,Barcelona,rock,0,,0,failed
2026-07-12T03:46:16,Barcelona,rock,1,,0,failed
2026-07-12T03:46:16,Barcelona,rock,2,,0,failed
2026-07-12T03:46:16,Barcelona,classical,0,,0,failed
2026-07-12T03:46:16,Barcelona,classical,1,,0,failed
2026-07-12T03:46:16,Barcelona,classical,2,,0,failed
2026-07-12T03:46:16,Barcelona,opera,0,,0,failed
2026-07-12T03:46:16,Barcelona,opera,1,,0,failed
2026-07-12T03:46:16,Barcelona,opera,2,,0,failed
2026-07-12T03:46:16,Barcelona,museum,0,,0,failed
2026-07-12T03:46:16,Barcelona,museum,1,,0,failed
2026-07-12T03:46:16,Barcelona,museum,2,,0,failed
2026-07-12T03:46:16,Barcelona,exhibition,0,,0,failed
2026-07-12T03:46:16,Barcelona,exhibition,1,,0,failed
2026-07-12T03:46:16,Barcelona,exhibition,2,,0,failed
2026-07-12T03:46:16,Barcelona,film festival,0,,0,failed
2026-07-12T03:46:16,Barcelona,film festival,1,,0,failed
2026-07-12T03:46:16,Barcelona,film festival,2,,0,failed
2026-07-12T03:46:16,Barcelona,comedy,0,,0,failed
2026-07-12T03:46:16,Barcelona,comedy,1,,0,failed
2026-07-12T03:46:16,Barcelona,comedy,2,,0,failed
2026-07-12T03:46:16,Barcelona,theatre,0,,0,failed
